exp,H,beta,m,V
512,0.03,2.35619449019234,0.9379,7.76842105263158
513,0.03,2.35619449019234,0.9379,8.14736842105263
514,0.03,2.35619449019234,0.9379,8.52631578947368
515,0.03,2.35619449019234,0.9379,8.90526315789474
516,0.03,2.35619449019234,0.9379,9.28421052631579
517,0.03,2.35619449019234,0.9379,9.66315789473684
518,0.03,2.35619449019234,0.9379,10.0421052631579
519,0.03,2.35619449019234,0.9379,10.4210526315789
520,0.03,2.35619449019234,0.9379,10.8
521,0.03,2.35619449019234,1.1238,3.6
522,0.03,2.35619449019234,1.1238,3.97894736842105
523,0.03,2.35619449019234,1.1238,4.35789473684211
